cliente_id,fecha,producto,categoria,monto,canal,descuento_aplicado
PREM_0001,2025-12-06,MacBook Pro,Smartphones,180.26,Online,5
PREM_0001,2025-11-03,AirPods,Gaming,370.69,Online,5
PREM_0001,2025-11-12,MacBook Pro,Gaming,522.66,Online,5
PREM_0001,2025-11-17,Smartphone Case,Smartphones,444.0,Tienda,5
PREM_0001,2025-11-17,Monitor 4K,Accesorios,267.84,Online,10
PREM_0001,2025-11-17,Monitor 4K,Gaming,517.98,Online,5
PREM_0001,2025-11-12,Mechanical Keyboard,Accesorios,308.28,Online,0
PREM_0002,2025-12-13,iPad,Smartphones,1438.52,Online,20
PREM_0002,2025-11-25,Webcam HD,Smartphones,676.22,Online,5
PREM_0002,2025-12-08,Mechanical Keyboard,Smartphones,1095.78,App,10
PREM_0002,2025-11-22,iPhone 14,Smartphones,695.68,Online,15
PREM_0002,2025-11-18,Smartphone Case,Gaming,400.3,Tienda,5
PREM_0002,2025-11-12,MacBook Pro,Smartphones,423.59,Online,5
PREM_0003,2025-11-24,Laptop Bag,Accesorios,534.33,Online,0
PREM_0003,2025-12-13,Monitor 4K,Gaming,339.44,Online,10
PREM_0003,2025-12-03,Mechanical Keyboard,Gaming,652.16,Online,5
PREM_0003,2025-11-18,Monitor 4K,Gaming,344.2,Online,0
PREM_0003,2025-11-16,Monitor 4K,Gaming,209.42,Online,10
PREM_0003,2025-12-12,AirPods,Gaming,383.61,Online,0
PREM_0003,2025-11-12,Mechanical Keyboard,Accesorios,419.93,Online,0
PREM_0004,2025-11-11,iPhone 14,Laptops,136.98,Online,10
PREM_0004,2025-11-16,Gaming Mouse,Accesorios,241.04,Online,10
PREM_0004,2025-11-25,MacBook Pro,Laptops,100.61,Online,5
PREM_0004,2025-12-04,iPad,Laptops,167.79,Online,0
PREM_0004,2025-11-10,Mechanical Keyboard,Laptops,194.47,Online,20
PREM_0004,2025-11-14,AirPods,Laptops,240.99,Online,10
PREM_0004,2025-12-12,AirPods,Laptops,266.79,Online,0
PREM_0004,2025-11-15,Laptop Bag,Laptops,77.57,Online,0
PREM_0004,2025-11-27,Monitor 4K,Laptops,224.57,App,0
PREM_0004,2025-11-18,iPhone 14,Laptops,237.67,Online,0
PREM_0004,2025-12-10,iPhone 14,Accesorios,163.99,Online,0
PREM_0005,2025-11-19,Gaming Mouse,Smartphones,1011.71,Tienda,5
PREM_0005,2025-12-03,Smartphone Case,Smartphones,493.99,Tienda,0
PREM_0005,2025-12-01,MacBook Pro,Laptops,360.07,Tienda,20
PREM_0005,2025-11-15,Monitor 4K,Smartphones,532.75,Tienda,10
PREM_0005,2025-12-01,AirPods,Gaming,359.05,Tienda,0
PREM_0005,2025-11-29,iPad,Accesorios,405.48,Tienda,10
PREM_0005,2025-11-24,iPad,Smartphones,483.91,Tienda,0
PREM_0005,2025-11-19,Laptop Bag,Laptops,372.57,Tienda,15
PREM_0006,2025-12-10,Webcam HD,Laptops,434.97,App,0
PREM_0006,2025-11-08,Laptop Bag,Accesorios,460.98,Online,5
PREM_0006,2025-11-15,iPad,Laptops,461.71,Online,15
PREM_0006,2025-11-10,Monitor 4K,Smartphones,324.97,Online,0
PREM_0006,2025-11-19,AirPods,Gaming,512.09,Online,10
PREM_0006,2025-12-13,MacBook Pro,Laptops,285.44,Online,0
PREM_0006,2025-11-21,iPad,Gaming,557.8,Online,0
PREM_0006,2025-12-05,iPad,Smartphones,305.4,Online,20
PREM_0007,2025-11-16,Smartphone Case,Smartphones,159.51,Tienda,10
PREM_0007,2025-12-05,Laptop Bag,Accesorios,258.58,Tienda,20
PREM_0007,2025-11-18,Laptop Bag,Smartphones,166.54,Tienda,0
PREM_0007,2025-11-18,Mechanical Keyboard,Smartphones,628.93,Tienda,0
PREM_0007,2025-11-23,iPad,Smartphones,506.95,Tienda,5
PREM_0007,2025-11-30,iPad,Accesorios,212.09,Tienda,0
PREM_0007,2025-11-30,iPhone 14,Accesorios,284.51,Tienda,0
PREM_0007,2025-11-27,Laptop Bag,Smartphones,239.21,Tienda,20
